event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
KEN11649,2023/05/19,"2023","2",Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Kenya (2022-),,"1",Samburu Ethnic Militia (Kenya),Pastoralists (Kenya),"4","14",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,"3","Citizen (Kenya); K24; KTN News (Kenya); Star (Kenya)",National,"Weapons seizure: Around 19 May 2023 (as reported), police seized 148 illegally owned guns within a period of three weeks, across the 6 counties affected by the pastoral militia, out of which 96 were surrendered by suspected Samburu militia (coded to county headquarters as Maralal, Samburu Central, Samburu) following the ongoing security operation against pastoral militia that has resulted in the displacement of populations and destruction of property.","0",,"1684786617"
KEN11635,2023/05/17,"2023","1",Strategic developments,Strategic developments,Change to group/activity,Government of Kenya (2022-),,"1",,,"0","10",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,"2","Capital FM; Citizen (Kenya); Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Twitter",New media-National,"Security measures: On 17 May 2023, the government declared a 30-day dusk-to-dawn curfew in Loroki and Kirisia divisions (coded as Maralal, Samburu Central Samburu). This is following a recent spate of insecurity in the divisions, orchestrated by suspected ethnic pastoral militias.","0",,"1684786617"
KEN11639,2023/05/17,"2023","1",Demonstrations,Protests,Peaceful protest,Protesters (Kenya),"Samburu Ethnic Group (Kenya); Pastoralists (Kenya)","6",,,"0","60",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Porro,Malaso,1.2333,36.5167,"2","Citizen (Kenya); Twitter",New media-National,"On 17 May 2023, members of the Samburu council of elders protested in Samburu West (coded as Malaso, Samburu Central, Samburu) against increased insecurity following attacks by suspected pastoral militia. Led by the council secretary, group demanded government to address the matter.","0",crowd size=no report,"1684786617"
KEN11613,2023/05/16,"2023","2",Political violence,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,"4",Military Forces of Kenya (2022-),,"1","14",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Maralal,Maralal,1.0968,36.698,"3",Citizen (Kenya),National,"Around 16 May 2023 (as reported), unidentified militia (described as bandits) clashed with military officers during a raid at Loibor-Nkare village (coded to county headquarters as Maralal, Samburu Central, Samburu). One military officer sustained injuries.","0",,"1684786617"
KEN11593,2023/05/14,"2023","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Civilians (Kenya),,"7","27",Civilian targeting,"404",Eastern Africa,Kenya,Mandera,Mandera East,Khalalio,Karo,3.8776,41.6941,"2","Kenya Standard; Star (Kenya)",National,"On 14 May 2023, an IED planted by suspected Al Shabaab detonated, targeting a public service vehicle traveling to Mandera Town from Elwak at Burta Ashaqa village near Karo (Mandera East, Mandera). Two passengers were injured during the incident.","0",,"1684786617"
KEN11636,2023/05/14,"2023","1",Strategic developments,Strategic developments,Looting/property destruction,Unidentified Ethnic Militia (Kenya),,"4",Civilians (Kenya),Pastoralists (Kenya),"7","47",,"404",Eastern Africa,Kenya,Laikipia,Laikipia North,Mugogodo West,Mukogodo,0.4833,36.9333,"2","Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Opera News (Kenya); People Daily",New media-National,"Looting: On 14 May 2023, unidentified militia (described as bandits) invaded Enasoit ranch near Mukogodo (Laikipia North, Laikipia) and made away with 75 heads of cattle.","0",,"1684786617"
KEN11643,2023/05/14,"2023","1",Political violence,Battles,Armed clash,Police Forces of Kenya (2022-) National Police Reservists,,"1",Unidentified Ethnic Militia (Kenya),,"4","14",,"404",Eastern Africa,Kenya,Laikipia,Laikipia North,Mugogodo West,Mukogodo,0.4833,36.9333,"2","Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Opera News (Kenya); People Daily",New media-National,"On 14 May 2023, a multi-agency security team (coded as national police reservist-NPR), intercepted and clashed with unidentified militia (described as bandits) at Lndonyo Leta area near Mukogodo forest (Laikipia North, Laikipia) after receiving a distress call of heads cattle stolen from Enasoit ranch (coded separately). One militiaman was killed, an NPR officer injured, all the 75 cattle were recovered (other sources mention that only 73 cattle were recovered while 2 were shot dead) during the incident.","1",,"1684786617"
KEN11569,2023/05/13,"2023","1",Political violence,Violence against civilians,Attack,Unidentified Ethnic Militia (Kenya),,"4",Civilians (Kenya),,"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Porro,Malaso,1.2333,36.5167,"1",Kenya Broadcasting Corporation,National,"On 13 May 2023, unidentified militia (described as bandits) attacked and killed a man in Siambu area of Malaso (Samburu Central, Samburu) over unclear reasons.","1",,"1684786617"
KEN11571,2023/05/13,"2023","2",Political violence,Battles,Armed clash,Al Shabaab,,"2",Police Forces of Kenya (2022-) General Service Unit,,"1","12",,"404",Eastern Africa,Kenya,Mandera,Mandera North,Rhamu,Rhamu,3.9208,41.2192,"1","Nairobi News; Star (Kenya)",National,"Around 13 May 2023 (as reported), suspected Al Shabaab militants ambushed two vehicles that were carrying 25 general service police officers along Rhamu-Elwak road at Isaqora area of Rhamu (Mandera North, Mandera). Two officers sustained injuries during the incident.","0",,"1684786617"
KEN11575,2023/05/13,"2023","1",Political violence,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,"4",Police Forces of Kenya (2022-),,"1","14",,"404",Eastern Africa,Kenya,Samburu,Samburu Central,Suguta Marmar,Logorate,0.8521,36.6234,"1","Citizen (Kenya); Kenya Broadcasting Corporation",National,"On 13 May 2023, unidentified militia (described as bandits) clashed with security officers, coded as police, in Logorate (Samburu Central, Samburu) as the group was fleeing with 200 stolen livestock. A herder and a militia were killed during the incident.","2",,"1684786617"
KEN11565,2023/05/12,"2023","1",Political violence,Battles,Armed clash,Unidentified Ethnic Militia (Kenya),,"4",Police Forces of Kenya (2022-) National Police Reservists,,"1","14",,"404",Eastern Africa,Kenya,Samburu,Samburu North,Nachola,Marti,1.4771,36.7236,"2","Citizen (Kenya); Twitter",New media-National,"On 12 May 2023, unknown number of attackers (described as bandits) ambushed herders and attempted to make away with livestock, before being repulsed by police reservists in Ngata Nanyeki village near Marti (Samburu North, Samburu). One attacker and a herder were killed during the incident and all the livestock was recovered.","2",,"1684786617"
KEN11652,2023/05/12,"2023","1",Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,"2",Police Forces of Kenya (2022-),,"1","12",,"404",Eastern Africa,Kenya,Garissa,Garissa,Waberi,Garissa,-0.4536,39.6461,"2",Calamada,Regional,"On 12 May 2023, an IED planted by suspected Al Shabaab detonated, targeting Security forces convoy (coded as police) travelling in between Bura and Garissa (coded as Garissa, Garissa, Garissa). Causalities unknown. Al Shabaab claimed responsibility.","0",,"1684786617"
KEN11653,2023/05/12,"2023","1",Political violence,Battles,Armed clash,Al Shabaab,,"2",Police Forces of Kenya (2022-),,"1","12",,"404",Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,"1",Calamada,Regional,"On 12 May 2023, Al Shabaab ambushed security forces (coded as police) convoy in between Jabi and Ramo in Mandera town (Mandera East, Mandera). Causalities unknown. Al Shabaab claimed responsibility.","0",,"1684786617"
SOM40241,2023/05/12,"2023","1",Political violence,Battles,Armed clash,Al Shabaab,,"2",ATMIS: African Union Transition Mission in Somalia (2022-) (Kenya),,"8","28",,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Hosingow,-0.1734,41.2695,"1",Somali Memo,National,"On 12 May 2023, overnight, Al Shabaab carried out a hit and run attack against ATMIS KDF troops at a forward operation base in Hosingow village (Badhaadhe, Lower Juba). There were no casualties. Al Shabaab claimed responsibility.","0",,"1684786618"
KEN11555,2023/05/11,"2023","1",Political violence,Violence against civilians,Attack,Unidentified Ethnic Militia (Kenya),,"4",Civilians (Kenya),,"7","47",Civilian targeting,"404",Eastern Africa,Kenya,Marsabit,Saku,Sagante,Badasa,2.2562,38.036,"1",Star (Kenya),National,"On 11 May 2023, unknown assailants (described as bandits), stormed a manyatta (homestead), before shooting and killing two people in Badasa (Saku, Marsabit). The reason for the killing remains unclear.","2",,"1684786617"
KEN11543,2023/05/10,"2023","1",Strategic developments,Strategic developments,Other,Government of Kenya (2022-),,"1",Government of Ethiopia (2018-),Government of Somalia (2022-),"8","18",,"404",Eastern Africa,Kenya,Mandera,Mandera East,Township,Mandera,3.9357,41.8542,"1",Star (Kenya),National,"Other: On 10 May 2023, the government launched a cross-border security project in Mandera (Mandera East, Mandera) that will see the Kenya share intelligence, border security management, surveillance of movement of arms among other security components with neighboring Somalia and Ethiopia.","0",,"1684786617"
SOM40210,2023/05/08,"2023","1",Political violence,Battles,Armed clash,Al Shabaab,,"2",ATMIS: African Union Transition Mission in Somalia (2022-) (Kenya),,"8","28",,"706",Eastern Africa,Somalia,Lower Juba,Badhaadhe,,Kolbiyow,-1.1369,41.2174,"1","Calamada; Somali Memo; Undisclosed Source",Local partner-Other,"On 8 May 2023, overnight, Al Shabaab carried out a hit and run attack against ATMIS KDF troops at a forward operation base in Kolbiyow village (Badhaadhe, Lower Juba). There were no casualties. Al Shabaab claimed responsibility.","0",,"1684786618"
