"","event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","FID","geometry"
"2","KEN11649","2023-05-19",2023,2,"Strategic developments","Strategic developments","Disrupted weapons use","POLICE FORCES OF KENYA (2022-)","",1,"SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",3,"Citizen (Kenya); K24; KTN News (Kenya); Star (Kenya)","National","WEAPONS SEIZURE: AROUND 19 MAY 2023 (AS REPORTED), POLICE SEIZED 148 ILLEGALLY OWNED GUNS WITHIN A PERIOD OF THREE WEEKS, ACROSS THE 6 COUNTIES AFFECTED BY THE PASTORAL MILITIA, OUT OF WHICH 96 WERE SURRENDERED BY SUSPECTED SAMBURU MILITIA (CODED TO COUNTY HEADQUARTERS AS MARALAL, SAMBURU CENTRAL, SAMBURU) FOLLOWING THE ONGOING SECURITY OPERATION AGAINST PASTORAL MILITIA THAT HAS RESULTED IN THE DISPLACEMENT OF POPULATIONS AND DESTRUCTION OF PROPERTY.",0,"",1684786617,1,c(36.698, 1.0968)
"40","KEN11635","2023-05-17",2023,1,"Strategic developments","Strategic developments","Change to group/activity","GOVERNMENT OF KENYA (2022-)","",1,"","",0,10,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"Capital FM; Citizen (Kenya); Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Twitter","New media-National","SECURITY MEASURES: ON 17 MAY 2023, THE GOVERNMENT DECLARED A 30-DAY DUSK-TO-DAWN CURFEW IN LOROKI AND KIRISIA DIVISIONS (CODED AS MARALAL, SAMBURU CENTRAL SAMBURU). THIS IS FOLLOWING A RECENT SPATE OF INSECURITY IN THE DIVISIONS, ORCHESTRATED BY SUSPECTED ETHNIC PASTORAL MILITIAS.",0,"",1684786617,2,c(36.698, 1.0968)
"42","KEN11639","2023-05-17",2023,1,"Demonstrations","Protests","Peaceful protest","PROTESTERS (KENYA)","SAMBURU ETHNIC GROUP (KENYA); PASTORALISTS (KENYA)",6,"","",0,60,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Porro","Malaso",2,"Citizen (Kenya); Twitter","New media-National","ON 17 MAY 2023, MEMBERS OF THE SAMBURU COUNCIL OF ELDERS PROTESTED IN SAMBURU WEST (CODED AS MALASO, SAMBURU CENTRAL, SAMBURU) AGAINST INCREASED INSECURITY FOLLOWING ATTACKS BY SUSPECTED PASTORAL MILITIA. LED BY THE COUNCIL SECRETARY, GROUP DEMANDED GOVERNMENT TO ADDRESS THE MATTER.",0,"crowd size=no report",1684786617,3,c(36.5167, 1.2333)
"137","KEN11636","2023-05-14",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","PASTORALISTS (KENYA)",7,47,"",404,"Eastern Africa","Kenya","Laikipia","Laikipia North","Mugogodo West","Mukogodo",2,"Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Opera News (Kenya); People Daily","New media-National","LOOTING: ON 14 MAY 2023, UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) INVADED ENASOIT RANCH NEAR MUKOGODO (LAIKIPIA NORTH, LAIKIPIA) AND MADE AWAY WITH 75 HEADS OF CATTLE.",0,"",1684786617,6,c(36.9333, 0.4833)
"138","KEN11643","2023-05-14",2023,1,"Political violence","Battles","Armed clash","POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS","",1,"UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,14,"",404,"Eastern Africa","Kenya","Laikipia","Laikipia North","Mugogodo West","Mukogodo",2,"Daily Nation (Kenya); Kenya Broadcasting Corporation; NTV (Kenya); Opera News (Kenya); People Daily","New media-National","ON 14 MAY 2023, A MULTI-AGENCY SECURITY TEAM (CODED AS NATIONAL POLICE RESERVIST-NPR), INTERCEPTED AND CLASHED WITH UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) AT LNDONYO LETA AREA NEAR MUKOGODO FOREST (LAIKIPIA NORTH, LAIKIPIA) AFTER RECEIVING A DISTRESS CALL OF HEADS CATTLE STOLEN FROM ENASOIT RANCH (CODED SEPARATELY). ONE MILITIAMAN WAS KILLED, AN NPR OFFICER INJURED, ALL THE 75 CATTLE WERE RECOVERED (OTHER SOURCES MENTION THAT ONLY 73 CATTLE WERE RECOVERED WHILE 2 WERE SHOT DEAD) DURING THE INCIDENT.",1,"",1684786617,7,c(36.9333, 0.4833)
"166","KEN11575","2023-05-13",2023,1,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Suguta Marmar","Logorate",1,"Citizen (Kenya); Kenya Broadcasting Corporation","National","ON 13 MAY 2023, UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) CLASHED WITH SECURITY OFFICERS, CODED AS POLICE, IN LOGORATE (SAMBURU CENTRAL, SAMBURU) AS THE GROUP WAS FLEEING WITH 200 STOLEN LIVESTOCK. A HERDER AND A MILITIA WERE KILLED DURING THE INCIDENT.",2,"",1684786617,10,c(36.6234, 0.8521)
"182","KEN11565","2023-05-12",2023,1,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu North","Nachola","Marti",2,"Citizen (Kenya); Twitter","New media-National","ON 12 MAY 2023, UNKNOWN NUMBER OF ATTACKERS (DESCRIBED AS BANDITS) AMBUSHED HERDERS AND ATTEMPTED TO MAKE AWAY WITH LIVESTOCK, BEFORE BEING REPULSED BY POLICE RESERVISTS IN NGATA NANYEKI VILLAGE NEAR MARTI (SAMBURU NORTH, SAMBURU). ONE ATTACKER AND A HERDER WERE KILLED DURING THE INCIDENT AND ALL THE LIVESTOCK WAS RECOVERED.",2,"",1684786617,11,c(36.7236, 1.4771)
"331","KEN11498","2023-05-06",2023,1,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Porro","Malaso",1,"Citizen (Kenya)","National","ON 6 MAY 2023, UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) CLASHED WITH NATIONAL POLICE RESERVISTS (NPRS) IN SIAMBU AREA OF MALASO (SAMBURU CENTRAL, SAMBURU) AS THE GROUP WAS FLEEING WITH 200 STOLEN LIVESTOCK. ONE NPR WAS KILLED, AND HIS GUN STOLEN DURING THE INCIDENT.",1,"",1684786617,19,c(36.5167, 1.2333)
"503","KEN11492","2023-04-30",2023,1,"Political violence","Battles","Armed clash","POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS","POLICE FORCES OF KENYA (2022-); UNIDENTIFIED COMMUNAL GROUP (KENYA)",1,"BORANA ETHNIC MILITIA (KENYA)","",4,14,"",404,"Eastern Africa","Kenya","Isiolo","Garbatulla","Kinna","Kinna",2,"Capital FM; Daily Nation (Kenya); Kenya Broadcasting Corporation; Kenya Standard; NTV (Kenya); People Daily; Star (Kenya)","New media-National","ON 30 APRIL 2023, CHIEFS, POLICE AND NATIONAL POLICE RESERVISTS CLASHED WITH SUSPECTED BORANA MILITIA (DESCRIBED AS BANDITS FROM ISIOLO COUNTY) NEAR KINNA (GARBATULLA, ISIOLO) AS THEY PURSUED THE GROUP WHO HAD STOLEN ANIMALS (CODED SEPARATELY). A FORMER MEMBER OF COUNTY ASSEMBLY (MCA) WHO HAD ACCOMPANIED THE SECURITY OFFICERS WAS SHOT AND INJURED DURING THE INCIDENT (HOWEVER, THE MINISTER FOR INTERIOR SAID THE FORMER MCA MIGHT HAVE BEEN SHOT BY THE OFFICERS). THE VICTIM LATER SUCCUMBED TO THE INJURIES.",1,"",1684786617,25,c(38.2, 0.3167)
"514","KEN11495","2023-04-29",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","BORANA ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","FARMERS (KENYA)",7,47,"",404,"Eastern Africa","Kenya","Meru","Igembe North","Antubetwe Kiongo","Malaene",1,"NTV (Kenya); Star (Kenya)","New media-National","LOOTING: ON 29 APRIL 2023, SUSPECTED BORANA MILITIA (DESCRIBED AS BANDITS FROM ISIOLO COUNTY), RAIDED A HOME (ASSUMED FARM) IN MALAENE (IGEMBE NORTH, MERU) BEFORE WALKING AWAY WITH 71 GOATS (OTHER SOURCES MENTION OVER 80 GOATS).",0,"",1684786617,27,c(38.085, 0.3128)
"650","KEN11491","2023-04-22",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","POLICE FORCES OF KENYA (2022-)","",1,"SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",3,"Star (Kenya)","National","WEAPONS SEIZURE: ON 22 APRIL 2023, POLICE SEIZED FIVE RIFLES AND MORE THAN 10,000 BULLETS FROM PARIKAT (CODED TO COUNTY HEADQUARTERS AS MARALAL, SAMBURU CENTRAL, SAMBURU) WHEN SUSPECTED FIVE SAMBURU MILITIA SURRENDERED THE WEAPONS FOLLOWING THE ONGOING SECURITY OPERATION AGAINST PASTORAL MILITIA THAT HAS RESULTED IN THE DISPLACEMENT OF POPULATIONS AND DESTRUCTION OF PROPERTY.",0,"",1683042579,32,c(36.698, 1.0968)
"664","KEN11416","2023-04-21",2023,2,"Political violence","Battles","Armed clash","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"POLICE FORCES OF KENYA (2022-) NATIONAL POLICE RESERVISTS","",1,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",3,"Citizen (Kenya); Twitter","New media-National","AROUND 21 APRIL 2023 (AS REPORTED), UNIDENTIFIED MILITIA (DESCRIBED AS BANDITS) RAIDED AN UNSPECIFIED VILLAGE AND MADE AWAY WITH UNKNOWN NUMBER OF LIVESTOCK IN SAMBURU COUNTY (CODED TO THE COUNTY HEADQUARTERS AS MARALAL, SAMBURU CENTRAL, SAMBURU). NATIONAL POLICE RESERVISTS REPULSED THE ATTACKERS AND RECOVERED THE STOLEN LIVESTOCK. ONE PERSON SUSTAINED INJURIES DURING THE INCIDENT.",0,"",1682451266,33,c(36.698, 1.0968)
"720","KEN11494","2023-04-19",2023,2,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Meru","Igembe North","Antubetwe Kiongo","Malaene",1,"NTV (Kenya)","New media","AROUND 19 APRIL 2023 (WEEK OF), UNKNOWN ASSAILANTS (DESCRIBED AS BANDITS), INVADED A HOME IN MALAENE (IGEMBE NORTH, MERU) BEFORE WALKING AWAY WITH AN UNKNOWN NUMBER OF LIVESTOCK. THEY KILLED 2 PEOPLE AND ANOTHER PERSON WENT MISSING.",2,"",1684786617,37,c(38.085, 0.3128)
"827","KEN11406","2023-04-14",2023,1,"Strategic developments","Strategic developments","Disrupted weapons use","POLICE FORCES OF KENYA (2022-)","",1,"SAMBURU ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,14,"",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Maralal","Maralal",2,"Daily Nation (Kenya); NTV (Kenya); Star (Kenya)","New media-National","WEAPONS SEIZURE: ON 14 APRIL 2023, POLICE SEIZED MORE THAN 90 FIREARMS (ABOUT 79 FROM SAMBURU NORTH ALONE) AND 161 ROUNDS OF AMMUNITION (CODED TO COUNTY HEADQUARTERS AS MARALAL, SAMBURU CENTRAL, SAMBURU) WHEN SUSPECTED SAMBURU MILITIA SURRENDERED THE WEAPONS FOLLOWING THE ONGOING SECURITY OPERATION AGAINST PASTORAL MILITIA THAT HAS RESULTED IN THE DISPLACEMENT OF POPULATIONS AND DESTRUCTION OF PROPERTY.",0,"",1681739330,39,c(36.698, 1.0968)
"865","KEN11413","2023-04-13",2023,1,"Strategic developments","Strategic developments","Agreement","RENDILLES ETHNIC MILITIA (KENYA)","PASTORALISTS (KENYA)",4,"GOVERNMENT OF KENYA (2022-)","",1,14,"",404,"Eastern Africa","Kenya","Marsabit","Saku","Karare","Karare",1,"Star (Kenya)","National","ON 13 APRIL 2023, RENDILLES COMMUNITY ELDERS AND WOMEN LEADERS AGREED WITH THE COUNTY DEPARTMENT OF ADMINISTRATION, COHESION AND DISASTER MANAGEMENT IN KARARE (SAKU, MARSABIT) TO END CONFLICTS AND ADDRESS THE PASTORAL MILITIA CHALLENGES.",0,"",1682451266,41,c(37.6038, 2.3208)
"1008","KEN11388","2023-04-09",2023,1,"Political violence","Violence against civilians","Attack","UNIDENTIFIED ETHNIC MILITIA (KENYA)","",4,"CIVILIANS (KENYA)","",7,47,"Civilian targeting",404,"Eastern Africa","Kenya","Samburu","Samburu Central","Angata Nayokie","Morijo",2,"KTN News (Kenya); NTV (Kenya)","New media-National","ON 9 APRIL 2023, UNKNOWN PEOPLE (DESCRIBED AS BANDITS) SHOT AND KILLED ONE PERSON IN MORIJO AND TWO OTHERS AT LORIAN, SAMBURU NORTH (CODED AS MORIJO, SAMBURU CENTRAL, SAMBURU). NO ANIMALS WERE STOLEN (OTHER SOURCES MENTION THE VICTIMS AS NATIONAL POLICE RESERVISTS AND FURTHER NOTE THAT NOT LESS THAN 200 HERDS OF CATTLE WERE STOLEN).",3,"",1681739330,44,c(36.65, 1.2878)
